keggid	keggname	spec
KP04614	Renin-angiotensin system	Rice
KP04925	Aldosterone synthesis and secretion	Rice
KP04927	Cortisol synthesis and secretion	Rice
KP04260	Cardiac muscle contraction	Rice
KP04261	Adrenergic signaling in cardiomyocytes	Rice
KP04270	Vascular smooth muscle contraction	Rice
KP04970	Salivary secretion	Rice
KP04971	Gastric acid secretion	Rice
KP04972	Pancreatic secretion	Rice
KP04976	Bile secretion	Rice
KP04973	Carbohydrate digestion and absorption	Rice
KP04974	Protein digestion and absorption	Rice
KP04975	Fat digestion and absorption	Rice
KP04979	Cholesterol metabolism	Rice
KP04977	Vitamin digestion and absorption	Rice
KP04978	Mineral absorption	Rice
KP04962	Vasopressin-regulated water reabsorption	Rice
KP04960	Aldosterone-regulated sodium reabsorption	Rice
KP04961	Endocrine and other factor-regulated calcium reabsorption	Rice
KP04964	Proximal tubule bicarbonate reclamation	Rice
KP04966	Collecting duct acid secretion	Rice
KP04724	Glutamatergic synapse	Rice
KP04727	GABAergic synapse	Rice
KP04725	Cholinergic synapse	Rice
KP04728	Dopaminergic synapse	Rice
KP04726	Serotonergic synapse	Rice
KP04720	Long-term potentiation	Rice
KP04730	Long-term depression	Rice
KP04723	Retrograde endocannabinoid signaling	Rice
KP04721	Synaptic vesicle cycle	Rice
KP04722	Neurotrophin signaling pathway	Rice
KP04744	Phototransduction	Rice
KP04745	Phototransduction - fly	Rice
KP04740	Olfactory transduction	Rice
KP04742	Taste transduction	Rice
KP04750	Inflammatory mediator regulation of TRP channels	Rice
KP04320	Dorso-ventral axis formation	Rice
KP04360	Axon guidance	Rice
KP04361	Axon regeneration	Rice
KP04380	Osteoclast differentiation	Rice
KP04211	Longevity regulating pathway	Rice
KP04212	Longevity regulating pathway - worm	Rice
KP04213	Longevity regulating pathway - multiple species	Rice
KP04710	Circadian rhythm	Rice
KP04713	Circadian entrainment	Rice
KP04711	Circadian rhythm - fly	Rice
KP04712	Circadian rhythm - plant [PATH:osa04712]	Rice
KP04714	Thermogenesis	Rice
KP04626	Plant-pathogen interaction [PATH:osa04626]	Rice
KP05200	Pathways in cancer	Rice
KP05202	Transcriptional misregulation in cancer	Rice
KP05206	MicroRNAs in cancer	Rice
KP05205	Proteoglycans in cancer	Rice
KP05204	Chemical carcinogenesis - DNA adducts	Rice
KP05207	Chemical carcinogenesis - receptor activation	Rice
KP05208	Chemical carcinogenesis - reactive oxygen species	Rice
KP05203	Viral carcinogenesis	Rice
KP05230	Central carbon metabolism in cancer	Rice
KP05231	Choline metabolism in cancer	Rice
KP05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	Rice
KP05210	Colorectal cancer	Rice
KP05212	Pancreatic cancer	Rice
KP05225	Hepatocellular carcinoma	Rice
KP05226	Gastric cancer	Rice
KP05214	Glioma	Rice
KP05216	Thyroid cancer	Rice
KP05221	Acute myeloid leukemia	Rice
KP05220	Chronic myeloid leukemia	Rice
KP05217	Basal cell carcinoma	Rice
KP05218	Melanoma	Rice
KP05211	Renal cell carcinoma	Rice
KP05219	Bladder cancer	Rice
KP05215	Prostate cancer	Rice
KP05213	Endometrial cancer	Rice
KP05224	Breast cancer	Rice
KP05222	Small cell lung cancer	Rice
KP05223	Non-small cell lung cancer	Rice
KP05166	Human T-cell leukemia virus 1 infection	Rice
KP05170	Human immunodeficiency virus 1 infection	Rice
KP05161	Hepatitis B	Rice
KP05160	Hepatitis C	Rice
KP05171	Coronavirus disease - COVID-19	Rice
KP05164	Influenza A	Rice
KP05162	Measles	Rice
KP05168	Herpes simplex virus 1 infection	Rice
KP05163	Human cytomegalovirus infection	Rice
KP05167	Kaposi sarcoma-associated herpesvirus infection	Rice
KP05169	Epstein-Barr virus infection	Rice
KP05165	Human papillomavirus infection	Rice
KP05110	Vibrio cholerae infection	Rice
KP05120	Epithelial cell signaling in Helicobacter pylori infection	Rice
KP05130	Pathogenic Escherichia coli infection	Rice
KP05132	Salmonella infection	Rice
KP05131	Shigellosis	Rice
KP05135	Yersinia infection	Rice
KP05133	Pertussis	Rice
KP05134	Legionellosis	Rice
KP05150	Staphylococcus aureus infection	Rice
KP05152	Tuberculosis	Rice
KP05100	Bacterial invasion of epithelial cells	Rice
KP05146	Amoebiasis	Rice
KP05144	Malaria	Rice
KP05145	Toxoplasmosis	Rice
KP05140	Leishmaniasis	Rice
KP05142	Chagas disease	Rice
KP05143	African trypanosomiasis	Rice
KP05310	Asthma	Rice
KP05322	Systemic lupus erythematosus	Rice
KP05323	Rheumatoid arthritis	Rice
KP05320	Autoimmune thyroid disease	Rice
KP05321	Inflammatory bowel disease	Rice
KP05330	Allograft rejection	Rice
KP05332	Graft-versus-host disease	Rice
KP05340	Primary immunodeficiency	Rice
KP05010	Alzheimer disease	Rice
KP05012	Parkinson disease	Rice
KP05014	Amyotrophic lateral sclerosis	Rice
KP05016	Huntington disease	Rice
KP05017	Spinocerebellar ataxia	Rice
KP05020	Prion disease	Rice
KP05022	Pathways of neurodegeneration - multiple diseases	Rice
KP05030	Cocaine addiction	Rice
KP05031	Amphetamine addiction	Rice
KP05032	Morphine addiction	Rice
KP05033	Nicotine addiction	Rice
KP05034	Alcoholism	Rice
KP05417	Lipid and atherosclerosis	Rice
KP05418	Fluid shear stress and atherosclerosis	Rice
KP05410	Hypertrophic cardiomyopathy	Rice
KP05412	Arrhythmogenic right ventricular cardiomyopathy	Rice
KP05414	Dilated cardiomyopathy	Rice
KP05415	Diabetic cardiomyopathy	Rice
KP05416	Viral myocarditis	Rice
KP04930	Type II diabetes mellitus	Rice
KP04940	Type I diabetes mellitus	Rice
KP04950	Maturity onset diabetes of the young	Rice
KP04936	Alcoholic liver disease	Rice
KP04932	Non-alcoholic fatty liver disease	Rice
KP04931	Insulin resistance	Rice
KP04933	AGE-RAGE signaling pathway in diabetic complications	Rice
KP04934	Cushing syndrome	Rice
KP01501	beta-Lactam resistance	Rice
KP01502	Vancomycin resistance	Rice
KP01503	Cationic antimicrobial peptide (CAMP) resistance	Rice
KP01521	EGFR tyrosine kinase inhibitor resistance	Rice
KP01524	Platinum drug resistance	Rice
KP01523	Antifolate resistance	Rice
KP01522	Endocrine resistance	Rice
KP01000	Enzymes [BR:osa01000]	Rice
KP01001	Protein kinases [BR:osa01001]	Rice
KP01009	Protein phosphatases and associated proteins [BR:osa01009]	Rice
KP01002	Peptidases and inhibitors [BR:osa01002]	Rice
KP01003	Glycosyltransferases [BR:osa01003]	Rice
KP01005	Lipopolysaccharide biosynthesis proteins [BR:osa01005]	Rice
KP01011	Peptidoglycan biosynthesis and degradation proteins [BR:osa01011]	Rice
KP01004	Lipid biosynthesis proteins [BR:osa01004]	Rice
KP01008	Polyketide biosynthesis proteins [BR:osa01008]	Rice
KP01006	Prenyltransferases [BR:osa01006]	Rice
KP01007	Amino acid related enzymes [BR:osa01007]	Rice
KP00199	Cytochrome P450 [BR:osa00199]	Rice
KP00194	Photosynthesis proteins [BR:osa00194]	Rice
KP03000	Transcription factors [BR:osa03000]	Rice
KP03021	Transcription machinery [BR:osa03021]	Rice
KP03019	Messenger RNA biogenesis [BR:osa03019]	Rice
KP03041	Spliceosome [BR:osa03041]	Rice
KP03011	Ribosome [BR:osa03011]	Rice
KP03009	Ribosome biogenesis [BR:osa03009]	Rice
KP03016	Transfer RNA biogenesis [BR:osa03016]	Rice
KP03012	Translation factors [BR:osa03012]	Rice
KP03110	Chaperones and folding catalysts [BR:osa03110]	Rice
KP04131	Membrane trafficking [BR:osa04131]	Rice
KP04121	Ubiquitin system [BR:osa04121]	Rice
KP03051	Proteasome [BR:osa03051]	Rice
KP03032	DNA replication proteins [BR:osa03032]	Rice
KP03036	Chromosome and associated proteins [BR:osa03036]	Rice
KP03400	DNA repair and recombination proteins [BR:osa03400]	Rice
KP03029	Mitochondrial biogenesis [BR:osa03029]	Rice
KP02000	Transporters [BR:osa02000]	Rice
KP02044	Secretion system [BR:osa02044]	Rice
KP02042	Bacterial toxins [BR:osa02042]	Rice
KP02022	Two-component system	Rice
KP02035	Bacterial motility proteins	Rice
KP04812	Cytoskeleton proteins [BR:osa04812]	Rice
KP04147	Exosome [BR:osa04147]	Rice
KP02048	Prokaryotic defense system [BR:osa02048]	Rice
KP04030	G protein-coupled receptors [BR:osa04030]	Rice
KP04050	Cytokine receptors	Rice
KP04054	Pattern recognition receptors [BR:osa04054]	Rice
KP03310	Nuclear receptors	Rice
KP04040	Ion channels [BR:osa04040]	Rice
KP04031	GTP-binding proteins [BR:osa04031]	Rice
KP04052	Cytokines and growth factors	Rice
KP04515	Cell adhesion molecules	Rice
KP04090	CD molecules [BR:osa04090]	Rice
KP01504	Antimicrobial resistance genes	Rice
KP00535	Proteoglycans [BR:osa00535]	Rice
KP00536	Glycosaminoglycan binding proteins [BR:osa00536]	Rice
KP00537	Glycosylphosphatidylinositol (GPI)-anchored proteins [BR:osa00537]	Rice
KP04091	Lectins [BR:osa04091]	Rice
KP04990	Domain-containing proteins not elsewhere classified [BR:osa04990]	Rice
KP03200	Viral proteins	Rice
KP03210	Viral fusion proteins	Rice
KP03100	Non-coding RNAs [BR:osa03100]	Rice
KP99980	Enzymes with EC numbers	Rice
